Order_ID,Order_Date,Customer_ID,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Sales_Channel
ORD10029,2025-12-11,CUST1182,Delhi,Clothing,Jacket,3,3200,0.15,8160.0,1611.19,Online
ORD10030,2025-02-18,CUST1063,Noida,Electronics,Monitor,5,12000,0.0,60000.0,18451.27,Store
ORD10031,2025-02-28,CUST1199,Delhi,Clothing,Jeans,4,1800,0.05,6840.0,1691.48,Store
ORD10032,2025-06-19,CUST1220,Chandigarh,Clothing,T-Shirt,1,900,0.15,765.0,227.26,Online
ORD10033,2025-07-07,CUST1222,Chandigarh,Furniture,Table Lamp,1,1800,0.0,1800.0,572.42,Online
ORD10034,2025-09-28,CUST1221,Jaipur,Clothing,Jacket,3,3200,0.2,7680.0,1958.44,Store
ORD10035,2025-07-09,CUST1115,Chandigarh,Furniture,Table Lamp,3,1800,0.05,5130.0,1647.71,Store
ORD10036,2025-06-24,CUST1166,Noida,Electronics,Headphones,4,2500,0.0,10000.0,2998.47,Online
ORD10037,2025-02-20,CUST1131,Gurgaon,Electronics,Monitor,1,12000,0.2,9600.0,3503.03,Store
ORD10038,2025-12-30,CUST1055,Faridabad,Electronics,Smartphone,2,22000,0.15,37400.0,8222.39,Store
ORD10039,2025-02-24,CUST1067,Chandigarh,Electronics,Headphones,5,2500,0.0,12500.0,3370.69,Online
ORD10040,2025-09-01,CUST1067,Noida,Home & Kitchen,Air Fryer,5,7000,0.0,35000.0,7700.59,Online
ORD10041,2025-11-16,CUST1078,Jaipur,Clothing,Sneakers,2,2800,0.1,5040.0,1670.08,Online
ORD10042,2025-05-11,CUST1213,Jaipur,Home & Kitchen,Bedsheet,4,1600,0.15,5440.0,1340.32,Online
ORD10043,2025-11-03,CUST1151,Ghaziabad,Furniture,Bookshelf,2,6000,,11400.0,4137.04,Online
ORD10044,2025-05-15,CUST1188,Gurgaon,Home & Kitchen,Bedsheet,5,1600,0.1,7200.0,1896.42,Store
ORD10045,2025-01-21,CUST1130,Noida,Electronics,Laptop,5,55000,0.15,233750.0,73123.27,Online
ORD10046,2025-11-25,CUST1166,Jaipur,Furniture,Bookshelf,4,6000,0.15,20400.0,5205.47,Online
ORD10047,2025-06-16,CUST1250,Jaipur,Electronics,Headphones,5,2500,0.15,10625.0,3571.04,Store
ORD10048,2025-10-01,CUST1059,Jaipur,Furniture,Table Lamp,1,1800,0.05,1710.0,456.3,Online
ORD10049,2025-03-30,CUST1014,Delhi,Home & Kitchen,Bedsheet,1,1600,0.05,1520.0,570.77,Store
ORD10050,2025-11-12,CUST1246,Jaipur,Electronics,Headphones,5,2500,0.0,12500.0,4105.28,Online
ORD10051,2025-01-14,CUST1109,Gurgaon,Home & Kitchen,Cookware Set,4,3500,0.05,13300.0,3655.66,Online
ORD10052,2025-08-30,CUST1042,Faridabad,Furniture,Office Chair,3,8500,0.05,24225.0,6639.29,Online
ORD10053,2025-09-22,CUST1230,Gurgaon,Furniture,Desk,2,11000,0.0,22000.0,6576.91,Store
ORD10054,2025-12-12,CUST1027,Delhi,Furniture,Bookshelf,5,6000,0.05,28500.0,10031.89,Online
ORD10055,2025-02-22,CUST1249,Ghaziabad,Furniture,Desk,3,11000,0.05,31350.0,8147.76,Online
ORD10056,2025-12-06,CUST1220,Jaipur,Clothing,Jeans,5,1800,0.0,9000.0,2666.21,Store
ORD10057,2025-04-02,CUST1193,Noida,Home & Kitchen,Cookware Set,2,3500,0.15,5950.0,1120.23,Online
ORD10058,2025-09-21,CUST1011,Noida,Electronics,Monitor,3,12000,0.05,34200.0,12529.17,Store
ORD10059,2025-02-04,CUST1227,Jaipur,Electronics,Monitor,1,12000,0.1,10800.0,3462.22,Store
ORD10060,2025-07-25,CUST1239,Faridabad,Furniture,Bookshelf,5,6000,0.0,30000.0,9780.53,Online
ORD10061,2025-03-22,CUST1109,Noida,Electronics,Smartphone,4,22000,0.1,79200.0,16688.9,Store
ORD10062,2025-02-19,CUST1201,Delhi,Clothing,T-Shirt,2,900,0.05,1710.0,613.34,Online
ORD10063,2025-12-26,CUST1025,Chandigarh,Clothing,T-Shirt,5,900,0.1,4050.0,1054.39,Online
ORD10064,2025-01-02,CUST1179,Jaipur,Electronics,Smartphone,2,22000,0.2,35200.0,13359.53,Store
ORD10065,2025-02-23,CUST1187,Noida,Electronics,Headphones,4,2500,0.1,9000.0,2853.73,Online
ORD10066,2025-04-16,CUST1241,Chandigarh,Home & Kitchen,Mixer,1,4500,0.05,4275.0,1034.07,Store
ORD10067,2025-09-17,CUST1229,Jaipur,Home & Kitchen,Cookware Set,3,3500,0.2,8400.0,1916.82,Store
ORD10068,2025-11-06,CUST1143,Noida,Furniture,Desk,1,11000,0.05,10450.0,2948.1,Store
ORD10069,2025-07-10,CUST1010,Chandigarh,Clothing,T-Shirt,5,900,0.05,4275.0,1590.79,Online
ORD10070,2025-08-06,CUST1135,Jaipur,Furniture,Bookshelf,2,6000,0.2,9600.0,2739.44,Online
ORD10071,2025-02-13,CUST1242,Noida,Furniture,Office Chair,1,8500,0.1,7650.0,1492.67,Online
ORD10072,2025-06-11,CUST1146,Noida,Home & Kitchen,Mixer,2,4500,0.15,7650.0,1614.84,Store
ORD10073,2025-07-21,CUST1045,Gurgaon,Furniture,Bookshelf,1,6000,0.1,5400.0,1446.47,Online
ORD10074,2025-09-27,CUST1108,Chandigarh,Furniture,Office Chair,3,8500,0.05,24225.0,5694.0,Online
ORD10075,2025-12-17,CUST1153,Ghaziabad,Furniture,Table Lamp,1,1800,0.15,1530.0,339.44,Store
ORD10076,2025-10-31,CUST1194,Chandigarh,Electronics,Laptop,5,55000,0.05,261250.0,53469.23,Online
ORD10077,2025-09-28,CUST1141,Gurgaon,Clothing,Jeans,2,1800,0.1,3240.0,664.39,Store
ORD10078,2025-08-03,CUST1244,Ghaziabad,Home & Kitchen,Bedsheet,3,1600,0.1,4320.0,779.38,Store
ORD10079,2025-09-09,CUST1016,Faridabad,Electronics,Laptop,5,55000,0.2,220000.0,62489.62,Online
ORD10080,2025-07-09,CUST1084,Ghaziabad,Clothing,T-Shirt,2,900,0.0,1800.0,562.91,Online
ORD10081,2025-10-23,CUST1120,Jaipur,Home & Kitchen,Cookware Set,1,3500,0.1,3150.0,902.59,Store
ORD10082,2025-08-01,CUST1193,Ghaziabad,Electronics,Monitor,2,12000,0.2,19200.0,7134.36,Store
ORD10083,2025-07-27,CUST1196,Faridabad,Home & Kitchen,Air Fryer,1,7000,0.0,7000.0,2111.72,Online
ORD10084,2025-08-25,CUST1124,Jaipur,Clothing,Jeans,5,1800,0.2,7200.0,2363.06,Online
ORD10085,2025-12-04,CUST1199,Faridabad,Furniture,Table Lamp,3,1800,0.2,4320.0,786.94,Store
ORD10086,2025-02-22,CUST1117,Noida,Clothing,Jacket,4,3200,0.2,10240.0,2560.72,Online
ORD10087,2025-10-07,CUST1218,Delhi,Home & Kitchen,Cookware Set,2,3500,0.1,6300.0,2171.57,Online
ORD10088,2025-08-05,CUST1047,Chandigarh,Clothing,Jeans,3,1800,0.2,4320.0,1591.62,Online
ORD10089,2025-09-09,CUST1061,Noida,Clothing,T-Shirt,3,900,0.15,2295.0,415.44,Store
ORD10090,2025-07-07,CUST1216,Noida,Electronics,Smartphone,2,22000,0.05,41800.0,10065.27,Store
ORD10091,2025-02-10,CUST1073,Faridabad,Electronics,Smartphone,5,22000,0.2,88000.0,23989.25,Store
ORD10092,2025-06-06,CUST1067,Noida,Furniture,Office Chair,2,8500,0.1,15300.0,3128.97,Store
ORD10093,2025-01-15,CUST1076,Gurgaon,Home & Kitchen,Mixer,1,4500,0.1,4050.0,764.92,Online
ORD10094,2025-10-28,CUST1226,Faridabad,Home & Kitchen,Air Fryer,1,7000,0.2,5600.0,1304.56,Online
ORD10095,2025-03-06,CUST1146,Jaipur,Furniture,Desk,3,11000,0.2,26400.0,9774.42,Online
ORD10096,2025-12-11,CUST1081,Gurgaon,Clothing,Sneakers,5,2800,0.15,11900.0,4340.81,Store
ORD10097,2025-11-23,CUST1056,Gurgaon,Home & Kitchen,Mixer,5,4500,0.1,20250.0,4355.04,Store
ORD10098,2025-01-09,CUST1216,Noida,Clothing,Jacket,5,3200,0.2,12800.0,2985.19,Store
ORD10099,2025-12-10,CUST1048,Delhi,Furniture,Table Lamp,4,1800,0.0,7200.0,2509.43,Online
ORD10100,2025-05-09,CUST1100,Chandigarh,Clothing,Jacket,5,3200,0.0,16000.0,3103.71,Online
ORD10101,2025-05-16,CUST1058,Delhi,Furniture,Desk,4,11000,0.2,35200.0,7174.67,Online
ORD10102,2025-03-04,CUST1181,Jaipur,Home & Kitchen,Air Fryer,2,7000,0.05,13300.0,2872.94,Online
ORD10103,2025-05-19,CUST1077,Ghaziabad,Home & Kitchen,Air Fryer,2,7000,0.15,11900.0,3198.29,Store
ORD10104,2025-03-22,CUST1113,Delhi,Furniture,Bookshelf,2,6000,0.2,9600.0,2463.5,Online
ORD10105,2025-06-12,CUST1109,Noida,Furniture,Table Lamp,2,1800,0.15,3060.0,1157.25,Store
ORD10106,2025-10-16,CUST1226,Chandigarh,Furniture,Desk,3,11000,0.05,31350.0,9202.85,Store
ORD10107,2025-09-18,CUST1148,Faridabad,Clothing,Sneakers,5,2800,0.2,11200.0,2489.07,Store
ORD10108,2025-08-19,CUST1145,Gurgaon,Electronics,Monitor,3,12000,0.0,36000.0,8128.91,Store
ORD10109,2025-02-10,CUST1014,Chandigarh,Electronics,Laptop,2,55000,0.1,99000.0,20742.19,Online
ORD10110,2025-01-28,CUST1125,Faridabad,Clothing,Sneakers,4,2800,0.1,10080.0,3568.15,Online
ORD10111,2025-05-15,CUST1079,Noida,Home & Kitchen,Mixer,3,4500,0.0,13500.0,4256.25,Online
ORD10112,2025-07-20,CUST1029,Faridabad,Clothing,Jeans,2,1800,0.05,3420.0,1112.44,Online
ORD10113,2025-11-24,CUST1119,Ghaziabad,Electronics,Smartphone,5,22000,0.0,110000.0,38200.28,Online
ORD10114,2025-09-25,CUST1084,Jaipur,Clothing,Jacket,4,3200,0.05,12160.0,2741.29,Online
ORD10115,2025-02-02,CUST1184,Faridabad,Clothing,Jacket,3,3200,0.0,9600.0,1798.59,Online
ORD10116,2025-02-17,CUST1147,Delhi,Furniture,Office Chair,5,8500,0.1,38250.0,7156.42,Online
ORD10117,2025-03-03,CUST1166,Chandigarh,Electronics,Smartphone,3,22000,0.0,66000.0,20846.2,Store
ORD10118,2025-08-04,CUST1012,Gurgaon,Home & Kitchen,Mixer,3,4500,0.0,13500.0,3370.5,Online
ORD10119,2025-10-20,CUST1145,Ghaziabad,Clothing,Sneakers,3,2800,0.15,7140.0,2448.27,Online
ORD10120,2025-04-09,CUST1131,Ghaziabad,Furniture,Table Lamp,3,1800,0.05,5130.0,1168.59,Store
ORD10121,2025-06-21,CUST1148,Jaipur,Clothing,Sneakers,5,2800,0.15,11900.0,2219.32,Online
ORD10122,2025-12-26,CUST1009,Jaipur,Clothing,T-Shirt,1,900,0.15,765.0,252.83,Store
ORD10123,2025-08-02,CUST1088,Noida,Clothing,T-Shirt,4,900,0.2,2880.0,939.46,Store
ORD10124,2025-02-04,CUST1064,Gurgaon,Home & Kitchen,Mixer,1,4500,0.2,3600.0,1315.84,Store
ORD10125,2025-08-15,CUST1102,Delhi,Home & Kitchen,Air Fryer,3,7000,0.2,16800.0,3840.28,Store
ORD10126,2025-04-11,CUST1121,Jaipur,Clothing,Jacket,3,3200,0.0,9600.0,3183.27,Store
ORD10127,2025-05-11,CUST1168,Gurgaon,Home & Kitchen,Air Fryer,4,7000,0.15,23800.0,7396.96,Store
ORD10128,2025-09-14,CUST1205,Jaipur,Electronics,Laptop,2,55000,0.0,110000.0,39866.94,Online
ORD10129,2025-01-05,CUST1194,Jaipur,Home & Kitchen,Mixer,4,4500,0.05,17100.0,5140.52,Online
ORD10130,2025-08-06,CUST1106,Chandigarh,Clothing,Jeans,2,1800,0.05,3420.0,737.73,Store
ORD10131,2025-09-12,CUST1134,Delhi,Electronics,Laptop,3,55000,0.2,132000.0,31509.04,Store
ORD10132,2025-12-25,CUST1072,Gurgaon,Clothing,T-Shirt,1,900,0.05,855.0,164.98,Store
ORD10133,2025-10-10,CUST1203,Faridabad,Home & Kitchen,Cookware Set,4,3500,0.1,12600.0,3567.32,Store
ORD10134,2025-07-26,CUST1127,Delhi,Electronics,Monitor,2,12000,0.05,22800.0,6471.08,Store
ORD10135,2025-01-15,CUST1087,Faridabad,Clothing,Jeans,3,1800,0.05,5130.0,1887.48,Online
ORD10136,2025-12-12,CUST1055,Jaipur,Clothing,T-Shirt,5,900,0.1,4050.0,1361.44,Store
ORD10137,2025-02-11,CUST1051,Faridabad,Home & Kitchen,Mixer,5,4500,0.2,18000.0,4468.65,Store
ORD10138,2025-06-28,CUST1096,Delhi,Furniture,Desk,2,11000,0.1,19800.0,6619.32,Online
ORD10139,2025-03-04,CUST1189,Ghaziabad,Electronics,Smartphone,4,22000,0.05,83600.0,25025.47,Store
ORD10140,2025-12-18,CUST1213,Chandigarh,Home & Kitchen,Air Fryer,1,7000,0.15,5950.0,2053.71,Store
ORD10141,2025-08-19,CUST1108,Jaipur,Home & Kitchen,Mixer,4,4500,0.2,14400.0,4475.71,Store
ORD10142,2025-08-29,CUST1105,Faridabad,Clothing,Sneakers,2,2800,0.0,5600.0,1552.32,Store
ORD10143,2025-02-21,CUST1162,Faridabad,Furniture,Office Chair,2,8500,0.15,14450.0,2966.81,Store
ORD10144,2025-04-06,CUST1246,Ghaziabad,Furniture,Bookshelf,2,6000,0.1,10800.0,2824.52,Store
ORD10145,2025-08-10,CUST1143,Delhi,Electronics,Smartphone,5,22000,0.05,104500.0,26510.39,Online
ORD10146,2025-08-19,CUST1078,Gurgaon,Clothing,Jeans,4,1800,0.05,6840.0,2274.24,Online
ORD10147,2025-08-25,CUST1246,Faridabad,Furniture,Office Chair,5,8500,0.2,34000.0,9947.28,Online
ORD10148,2025-05-23,CUST1070,Delhi,Home & Kitchen,Air Fryer,1,7000,0.15,5950.0,1555.39,Online
ORD10149,2025-06-20,CUST1229,Ghaziabad,Clothing,T-Shirt,1,900,0.15,765.0,251.21,Online
ORD10150,2025-01-29,CUST1047,Chandigarh,Electronics,Laptop,4,55000,0.15,187000.0,34788.69,Online
ORD10151,2025-02-05,CUST1076,Jaipur,Clothing,Jeans,3,1800,0.05,5130.0,1488.95,Online
ORD10152,2025-01-13,CUST1204,Delhi,Electronics,Laptop,5,55000,0.15,233750.0,61341.41,Online
ORD10153,2025-06-09,CUST1165,Chandigarh,Home & Kitchen,Bedsheet,4,1600,0.15,5440.0,2027.3,Online
ORD10154,2025-11-23,CUST1044,Faridabad,Clothing,Sneakers,5,2800,0.0,14000.0,2956.32,Online
ORD10155,2025-07-06,CUST1114,Jaipur,Home & Kitchen,Air Fryer,4,7000,0.1,25200.0,9011.93,Store
ORD10156,2025-08-31,CUST1001,Chandigarh,Clothing,T-Shirt,5,900,0.15,3825.0,1413.95,Online
ORD10157,2025-03-27,CUST1161,Delhi,Furniture,Desk,5,11000,0.2,44000.0,15940.71,Online
ORD10158,2025-10-11,CUST1242,Noida,Home & Kitchen,Cookware Set,4,3500,0.05,13300.0,3996.97,Online
ORD10159,2025-03-07,CUST1185,Chandigarh,Home & Kitchen,Cookware Set,2,3500,0.0,7000.0,1765.23,Online
ORD10160,2025-06-19,CUST1038,Faridabad,Furniture,Table Lamp,3,1800,0.05,5130.0,1597.84,Online
ORD10161,2025-02-14,CUST1234,Faridabad,Home & Kitchen,Bedsheet,5,1600,0.15,6800.0,1625.63,Online
ORD10162,2025-03-03,CUST1008,Ghaziabad,Furniture,Table Lamp,2,1800,0.2,2880.0,1040.31,Store
ORD10163,2025-05-14,CUST1119,Gurgaon,Furniture,Desk,5,11000,0.05,52250.0,12940.94,Online
ORD10164,2025-10-11,CUST1136,Chandigarh,Clothing,Jeans,2,1800,0.05,3420.0,876.99,Store
ORD10165,2025-01-28,CUST1046,Faridabad,Electronics,Laptop,4,55000,0.1,198000.0,38374.43,Online
ORD10166,2025-04-18,CUST1105,Gurgaon,Electronics,Laptop,3,55000,0.2,132000.0,32551.95,Store
ORD10167,2025-02-13,CUST1063,Delhi,Clothing,Sneakers,2,2800,0.05,5320.0,1377.93,Online
ORD10168,2025-12-06,CUST1077,Chandigarh,Clothing,T-Shirt,1,900,0.2,720.0,160.94,Online
ORD10169,2025-10-13,CUST1238,Faridabad,Clothing,Jacket,4,3200,0.05,12160.0,3637.93,Store
ORD10170,2025-11-27,CUST1023,Noida,Electronics,Smartphone,2,22000,0.05,41800.0,8544.83,Online
ORD10171,2025-05-08,CUST1065,Faridabad,Clothing,Jacket,1,3200,0.0,3200.0,1005.84,Store
ORD10172,2025-12-14,CUST1217,Delhi,Furniture,Bookshelf,5,6000,0.1,27000.0,8161.79,Online
ORD10173,2025-08-19,CUST1218,Noida,Home & Kitchen,Bedsheet,1,1600,0.1,1440.0,481.75,Online
ORD10174,2025-07-09,CUST1003,Ghaziabad,Furniture,Table Lamp,2,1800,0.05,3420.0,982.57,Store
ORD10175,2025-08-13,CUST1154,Delhi,Furniture,Table Lamp,2,1800,0.15,3060.0,1147.11,Store
ORD10176,2025-10-10,CUST1228,Chandigarh,Furniture,Office Chair,2,8500,0.2,13600.0,4498.69,Online
ORD10177,2025-05-01,CUST1237,Ghaziabad,Home & Kitchen,Bedsheet,2,1600,0.15,2720.0,513.8,Online
ORD10178,2025-04-26,CUST1036,Noida,Clothing,Jacket,5,3200,0.15,13600.0,2571.32,Online
ORD10179,2025-08-21,CUST1019,Gurgaon,Home & Kitchen,Air Fryer,4,7000,0.2,22400.0,6365.26,Store
ORD10180,2025-09-16,CUST1027,Ghaziabad,Home & Kitchen,Mixer,4,4500,0.2,14400.0,4651.57,Online
ORD10181,2025-12-25,CUST1146,Gurgaon,Clothing,Sneakers,3,2800,0.05,7980.0,2058.31,Online
ORD10182,2025-07-17,CUST1203,Chandigarh,Home & Kitchen,Mixer,4,4500,0.05,17100.0,6081.15,Online
ORD10183,2025-05-17,CUST1191,Delhi,Clothing,Sneakers,2,2800,0.2,4480.0,1537.01,Store
ORD10184,2025-11-14,CUST1118,Chandigarh,Home & Kitchen,Mixer,2,4500,0.15,7650.0,2257.47,Store
ORD10185,2025-06-14,CUST1123,Ghaziabad,Electronics,Laptop,4,55000,0.2,176000.0,44593.07,Online
ORD10186,2025-08-13,CUST1009,Chandigarh,Furniture,Desk,5,11000,0.15,46750.0,15632.45,Store
ORD10187,2025-11-03,CUST1072,Delhi,Furniture,Table Lamp,2,1800,0.0,3600.0,763.3,Store
ORD10188,2025-08-22,CUST1019,Faridabad,Clothing,Jacket,5,3200,0.15,13600.0,4420.53,Store
ORD10189,2025-06-21,CUST1164,Gurgaon,Furniture,Bookshelf,2,6000,0.0,12000.0,4330.72,Online
ORD10190,2025-06-01,CUST1227,Faridabad,Furniture,Bookshelf,2,6000,0.2,9600.0,3325.41,Store
ORD10191,2025-11-11,CUST1037,Chandigarh,Electronics,Laptop,5,55000,0.0,275000.0,94685.47,Online
ORD10192,2025-06-09,CUST1077,Ghaziabad,Clothing,Sneakers,3,2800,0.05,7980.0,2622.41,Online
ORD10193,2025-04-06,CUST1007,Ghaziabad,Home & Kitchen,Cookware Set,1,3500,0.05,3325.0,1080.93,Store
ORD10194,2025-08-21,CUST1241,Noida,Electronics,Smartphone,2,22000,0.2,35200.0,8324.11,Online
ORD10195,2025-06-29,CUST1102,Gurgaon,Furniture,Table Lamp,4,1800,0.1,6480.0,1680.63,Store
ORD10196,2025-04-23,CUST1097,Faridabad,Furniture,Bookshelf,5,6000,0.15,25500.0,9253.14,Online
ORD10197,2025-11-14,CUST1231,Faridabad,Clothing,T-Shirt,1,900,0.1,810.0,252.14,Online
ORD10198,2025-02-21,CUST1172,Noida,Electronics,Laptop,4,55000,0.05,209000.0,51430.61,Store
ORD10199,2025-09-25,CUST1125,Gurgaon,Furniture,Office Chair,2,8500,0.1,15300.0,4183.15,Online
ORD10200,2025-10-22,CUST1209,Noida,Furniture,Desk,2,11000,0.15,18700.0,4630.72,Store
ORD10201,2025-04-23,CUST1197,Ghaziabad,Furniture,Bookshelf,4,6000,0.15,20400.0,7389.83,Online
ORD10202,2025-04-11,CUST1121,Chandigarh,Home & Kitchen,Air Fryer,1,7000,0.05,6650.0,2398.42,Store
ORD10203,2025-04-23,CUST1003,Jaipur,Clothing,Sneakers,1,2800,0.15,2380.0,437.33,Online
ORD10204,2025-03-22,CUST1005,Faridabad,Furniture,Bookshelf,4,6000,0.1,21600.0,7549.56,Store
ORD10205,2025-07-06,CUST1149,Faridabad,Furniture,Table Lamp,4,1800,0.0,7200.0,1523.47,Store
ORD10206,2025-04-23,CUST1204,Jaipur,Furniture,Desk,2,11000,0.0,22000.0,5682.66,Store
ORD10207,2025-01-02,CUST1114,Ghaziabad,Electronics,Headphones,5,2500,0.15,10625.0,3393.35,Store
ORD10208,2025-05-10,CUST1201,Delhi,Clothing,T-Shirt,5,900,0.05,4275.0,823.4,Online
ORD10209,2025-08-08,CUST1055,Jaipur,Electronics,Smartphone,4,22000,0.05,83600.0,21726.06,Online
ORD10210,2025-02-23,CUST1234,Faridabad,Furniture,Desk,3,11000,0.15,28050.0,5882.51,Online
ORD10211,2025-12-09,CUST1158,Gurgaon,Electronics,Laptop,2,55000,0.05,104500.0,26585.84,Store
ORD10212,2025-08-12,CUST1143,Ghaziabad,Home & Kitchen,Cookware Set,3,3500,0.15,8925.0,1930.06,Online
ORD10213,2025-08-13,CUST1206,Faridabad,Electronics,Headphones,3,2500,0.05,7125.0,2388.85,Store
ORD10214,2025-05-06,CUST1054,Delhi,Home & Kitchen,Bedsheet,2,1600,0.0,3200.0,847.9,Store
ORD10215,2025-05-10,CUST1227,Delhi,Home & Kitchen,Air Fryer,1,7000,0.2,5600.0,1772.36,Store
ORD10216,2025-02-22,CUST1149,Gurgaon,Clothing,T-Shirt,5,900,0.2,3600.0,1280.33,Store
ORD10217,2025-06-21,CUST1032,Faridabad,Clothing,T-Shirt,4,900,0.2,2880.0,777.87,Online
ORD10218,2025-08-06,CUST1191,Jaipur,Home & Kitchen,Air Fryer,4,7000,0.05,26600.0,8630.36,Store
ORD10219,2025-06-09,CUST1211,Chandigarh,Home & Kitchen,Mixer,3,4500,0.05,12825.0,3205.73,Online
ORD10220,2025-07-17,CUST1130,Jaipur,Furniture,Office Chair,3,8500,0.05,24225.0,6977.77,Online
ORD10221,2025-09-04,CUST1137,Noida,Electronics,Headphones,5,2500,0.0,12500.0,3674.16,Online
ORD10222,2025-11-20,CUST1144,Faridabad,Clothing,T-Shirt,4,900,0.1,3240.0,1116.01,Online
ORD10223,2025-07-22,CUST1124,Faridabad,Electronics,Monitor,4,12000,0.0,48000.0,16006.6,Online
ORD10224,2025-07-03,CUST1178,Chandigarh,Electronics,Monitor,4,12000,0.15,40800.0,8584.19,Online
ORD10225,2025-05-03,CUST1092,Jaipur,Electronics,Monitor,5,12000,0.1,54000.0,16548.2,Store
ORD10226,2025-09-12,CUST1183,Gurgaon,Furniture,Bookshelf,5,6000,0.2,24000.0,5427.34,Store
ORD10227,2025-10-21,CUST1058,Chandigarh,Clothing,Jacket,5,3200,0.2,12800.0,2917.66,Online
ORD10228,2025-10-07,CUST1237,Ghaziabad,Electronics,Laptop,5,55000,0.2,220000.0,46890.65,Online
ORD10229,2025-11-21,CUST1209,Noida,Electronics,Headphones,5,2500,0.2,10000.0,3714.73,Online
ORD10230,2025-04-08,CUST1183,Ghaziabad,Clothing,Sneakers,3,2800,0.2,6720.0,1418.78,Store
ORD10231,2025-07-17,CUST1082,Noida,Home & Kitchen,Cookware Set,4,3500,0.05,13300.0,4190.36,Online
ORD10232,2025-08-28,CUST1021,Gurgaon,Home & Kitchen,Mixer,4,4500,0.2,14400.0,4148.79,Online
ORD10233,2025-05-24,CUST1169,Delhi,Electronics,Laptop,1,55000,0.0,55000.0,13654.39,Store
ORD10234,2025-04-07,CUST1058,Faridabad,Clothing,Sneakers,5,2800,0.0,14000.0,2965.56,Store
ORD10235,2025-07-20,CUST1008,Noida,Furniture,Office Chair,4,8500,0.1,30600.0,8595.83,Store
ORD10236,2025-05-04,CUST1088,Ghaziabad,Furniture,Table Lamp,1,1800,0.0,1800.0,660.01,Online
